2024-10-30 13:44:55 - root - INFO - Starting crawler: 2024-10-30 13:44:55
2024-10-30 13:44:55 - root - INFO - Initializing Build List and building Base List of URLS
2024-10-30 13:44:55 - root - INFO - Start building dictionary for crawling
2024-10-30 13:44:55 - root - INFO - Scraping URL: https://www.azcourts.gov
2024-10-30 13:44:56 - root - INFO - Done Scraping URL: https://www.azcourts.gov
2024-10-30 13:44:56 - root - INFO - End building dictionary for crawling
2024-10-30 13:44:56 - root - INFO - Start crawling through dictionary
2024-10-30 13:44:56 - root - INFO - Crawling on https://twitter.com/AZCourts
2024-10-30 13:44:56 - root - INFO - Crawling on https://www.facebook.com/ArizonaSupremeCourt
2024-10-30 13:44:56 - root - INFO - Crawling on https://www.azcourts.gov/
2024-10-30 13:44:56 - root - INFO - Crawling on https://www.azcourts.gov/AZ-Courts
2024-10-30 13:44:56 - root - INFO - Crawling on https://www.azcourts.gov/AZ-Courts/AZ-Courts-Locator
2024-10-30 13:44:56 - root - INFO - Crawling on https://www.azcourts.gov/appellatecourtcases
2024-10-30 13:44:56 - root - INFO - Crawling on https://www.azcourts.gov/AZ-Courts/Court-of-Appeals
2024-10-30 13:44:56 - root - INFO - Crawling on https://www.azcourts.gov/coa1
2024-10-30 13:44:56 - root - INFO - Crawling on https://www.azcourts.gov/AZ-Courts/Superior-Court
2024-10-30 13:44:56 - root - INFO - Crawling on https://www.azcourts.gov/pjs
2024-10-30 13:44:56 - root - INFO - Crawling on https://www.azcourts.gov/AZ-Courts/Justice-Courts
2024-10-30 13:44:56 - root - INFO - Crawling on https://www.azcourts.gov/AZ-Courts/City-Courts
2024-10-30 13:44:56 - root - INFO - Crawling on https://www.azcourts.gov/ourcourtsaz
2024-10-30 13:44:56 - root - INFO - Crawling on https://www.azcourts.gov/guidetoazcourts
2024-10-30 13:44:56 - root - INFO - Crawling on https://www.azcourts.gov/committeescommissions
2024-10-30 13:44:56 - root - INFO - Crawling on https://www.azcourts.gov/committeescommissions/MeetingNotices.aspx
2024-10-30 13:44:56 - root - INFO - Crawling on https://www.azcourts.gov/juryduty
2024-10-30 13:44:56 - root - INFO - Crawling on https://www.azcourts.gov/AZ-Courts/Strategic-Agenda
2024-10-30 13:44:56 - root - INFO - Crawling on https://www.azcourts.gov/efilinginformation/
2024-10-30 13:44:56 - root - INFO - Crawling on https://www.azcourts.gov/eaccess/
2024-10-30 13:44:56 - root - INFO - Crawling on https://www.azcourts.gov/digitalevidence/
2024-10-30 13:44:56 - root - INFO - Crawling on https://www.azcourts.gov/jpr
2024-10-30 13:44:56 - root - INFO - Crawling on https://www.azcourts.gov/Portals/0/SupremeCourtLAP.pdf
2024-10-30 13:44:56 - root - INFO - Crawling on https://www.azcourts.gov/AZ-Courts/Access-to-Justice-AZ
2024-10-30 13:44:56 - root - INFO - Crawling on https://www.azcourts.gov/AZ-Supreme-Court
2024-10-30 13:44:56 - root - INFO - Crawling on https://www.azcourts.gov/clerkofcourt
2024-10-30 13:44:56 - root - INFO - Crawling on https://www.azcourts.gov/Rules
2024-10-30 13:44:56 - root - INFO - Crawling on https://www.azcourts.gov/rules/PendingRulesList.aspx
2024-10-30 13:44:56 - root - INFO - Crawling on https://www.azcourts.gov/Rules-Forum
2024-10-30 13:44:56 - root - INFO - Crawling on https://www.azcourts.gov/orders
2024-10-30 13:44:56 - root - INFO - Crawling on https://www.azcourts.gov/orders/Administrative-Orders-Index
2024-10-30 13:44:56 - root - INFO - Crawling on https://www.azcourts.gov/orders/ProTempore-Orders
2024-10-30 13:44:56 - root - INFO - Crawling on https://www.azcourts.gov/orders/Administrative-Directives
2024-10-30 13:44:56 - root - INFO - Crawling on https://www.azcourts.gov/AZ-Supreme-Court/Code-of-Judicial-Administration
2024-10-30 13:44:56 - root - INFO - Crawling on https://www.azcourts.gov/AZ-Supreme-Court/Live-Archived-Video
2024-10-30 13:44:56 - root - INFO - Crawling on https://www.azcourts.gov/opinions
2024-10-30 13:44:56 - root - INFO - Crawling on https://www.azcourts.gov/clerkofcourt/AgendasandCasesbeforetheCourt.aspx
2024-10-30 13:44:56 - root - INFO - Crawling on https://www.azcourts.gov/casesummaries
2024-10-30 13:44:56 - root - INFO - Crawling on https://www.azcourts.gov/clerkofcourt/OralArgumentCalendar.aspx
2024-10-30 13:44:56 - root - INFO - Crawling on https://www.azcourts.gov/AZ-Supreme-Court/Law-Clerkships
2024-10-30 13:44:56 - root - INFO - Crawling on https://www.azcourts.gov/Court-Admin-AOC
2024-10-30 13:44:56 - root - INFO - Crawling on https://www.azcourts.gov/Court-Admin-AOC/Executive-Office
2024-10-30 13:44:56 - root - INFO - Crawling on https://www.azcourts.gov/adminservices
2024-10-30 13:44:56 - root - INFO - Crawling on https://www.azcourts.gov/apsd
2024-10-30 13:44:56 - root - INFO - Crawling on https://www.azcourts.gov/cld
2024-10-30 13:44:56 - root - INFO - Crawling on https://www.azcourts.gov/courtservices
2024-10-30 13:44:56 - root - INFO - Crawling on https://www.azcourts.gov/dcsd
2024-10-30 13:44:56 - root - INFO - Crawling on https://www.azcourts.gov/educationservices
2024-10-30 13:44:56 - root - INFO - Crawling on https://www.azcourts.gov/Court-Admin-AOC/Information-Technology
2024-10-30 13:44:56 - root - INFO - Crawling on https://www.azcourts.gov/jjsd
2024-10-30 13:44:56 - root - INFO - Crawling on https://www.azcourts.gov/adminservices/EmergencyPreparedness.aspx
2024-10-30 13:44:56 - root - INFO - Crawling on https://www.azcourts.gov/adminservices/Procurement
2024-10-30 13:44:56 - root - INFO - Crawling on https://www.azcourts.gov/PerformanceMeasures/
2024-10-30 13:44:56 - root - INFO - Crawling on https://www.azcourts.gov/committeescommissions/
2024-10-30 13:44:56 - root - INFO - Crawling on https://www.azcourts.gov/committeescommissions/Meeting-Notices
2024-10-30 13:44:56 - root - INFO - Crawling on https://www.azcourts.gov/awards
2024-10-30 13:44:56 - root - INFO - Crawling on https://www.azcourts.gov/selfservicecenter
2024-10-30 13:44:56 - root - INFO - Crawling on https://apps.azcourts.gov/publicaccess/
2024-10-30 13:44:56 - root - INFO - Crawling on https://www.azcourts.gov/courtfilingfees/Fee-Waivers-and-Deferrals
2024-10-30 13:44:56 - root - INFO - Crawling on https://www.azcourts.gov/CASA
2024-10-30 13:44:56 - root - INFO - Crawling on https://www.azcourts.gov/selfservicecenter/civil
2024-10-30 13:44:56 - root - INFO - Crawling on https://azcourts.gov/selfservicecenter/Criminal-Law
2024-10-30 13:44:56 - root - INFO - Crawling on https://www.azcourts.gov/selfservicecenter/Criminal-Law/Criminal-Law-Authorities
2024-10-30 13:44:56 - root - INFO - Crawling on https://www.azcourts.gov/domesticviolencelaw
2024-10-30 13:44:56 - root - INFO - Crawling on https://www.azcourts.gov/familylaw
2024-10-30 13:44:56 - root - INFO - Crawling on https://www.azcourts.gov/familylaw/Child-Support-Family-Law-Information/About-the-Child-Support-Calculator
2024-10-30 13:44:56 - root - INFO - Crawling on https://www.azcourts.gov/fcrb
2024-10-30 13:44:56 - root - INFO - Crawling on https://www.azcourts.gov/selfservicecenter/Juvenile-Law
2024-10-30 13:44:56 - root - INFO - Crawling on https://www.azcourts.gov/selfservicecenter/Restore-Firearm-Rights
2024-10-30 13:44:56 - root - INFO - Crawling on https://www.azcourts.gov/interpreter/Resources-for-Interpreters
2024-10-30 13:44:56 - root - INFO - Crawling on https://www.azcourts.gov/selfservicecenter/Traffic-Law
2024-10-30 13:44:56 - root - INFO - Crawling on https://www.azcourts.gov/drive/Defensive-Driving-Schools
2024-10-30 13:44:56 - root - INFO - Crawling on https://www.azcourts.gov/selfservicecenter/Self-Service-Center/Crime-Victims
2024-10-30 13:44:56 - root - INFO - Crawling on https://azcourts.force.com/cldlicensing/s/file-complaint
2024-10-30 13:44:56 - root - INFO - Crawling on https://www.azcourts.gov/cld/Alternative-Business-Structure
2024-10-30 13:44:56 - root - INFO - Crawling on https://www.azcourts.gov/cld/Attorney-Admissions
